query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	5e-324	11561	9576	5778	0.6033834586466166	0.4997837557304731	GO:0005737	GO:CC	cytoplasm	26995	309	
query_1	TRUE	1.3039593343946302e-272	10460	9387	5258	0.5601363587940769	0.5026768642447419	GO:0005515	GO:MF	protein binding	25063	1492	
query_1	TRUE	7.659256995941121e-227	6589	9460	3421	0.3616279069767442	0.5191986644407346	GO:0048518	GO:BP	positive regulation of biological process	26944	13226	
query_1	TRUE	1.174512375602833e-219	13527	9460	5992	0.6334038054968287	0.4429659200118282	GO:0065007	GO:BP	biological regulation	26944	16384	
query_1	TRUE	1.1041461860463347e-213	22653	9576	8894	0.9287802840434419	0.39261907915066435	GO:0110165	GO:CC	cellular anatomical entity	26995	3439	
query_1	TRUE	3.821676251931504e-208	13144	9460	5826	0.6158562367864694	0.44324406573341446	GO:0050789	GO:BP	regulation of biological process	26944	13687	
query_1	TRUE	8.880781116307635e-198	6078	9460	3141	0.3320295983086681	0.516781836130306	GO:0048522	GO:BP	positive regulation of cellular process	26944	13230	
query_1	TRUE	2.616835646741492e-190	5364	9460	2829	0.29904862579281183	0.5274049217002237	GO:0051179	GO:BP	localization	26944	14002	
query_1	TRUE	1.1385612681658244e-187	16378	9387	7190	0.7659529136039203	0.43900354133593844	GO:0005488	GO:MF	binding	25063	1480	
query_1	TRUE	9.196172504347299e-186	12593	9460	5566	0.5883720930232558	0.441991582625268	GO:0050794	GO:BP	regulation of cellular process	26944	13691	
query_1	TRUE	1.758497103797996e-179	3987	9460	2220	0.2346723044397463	0.5568096313017307	GO:0048583	GO:BP	regulation of response to stimulus	26944	13279	
query_1	TRUE	2.1365289697988646e-170	10191	9576	4688	0.48955722639933164	0.46001373761161807	GO:0016020	GO:CC	membrane	26995	720	
query_1	TRUE	7.1221217098307415e-158	3936	9460	2147	0.2269556025369979	0.5454776422764228	GO:0006950	GO:BP	response to stress	26944	2613	
query_1	TRUE	2.6514147221969407e-157	4696	9460	2467	0.26078224101479913	0.5253407155025553	GO:0051234	GO:BP	establishment of localization	26944	14032	
query_1	TRUE	4.514916683543808e-148	5744	9460	2871	0.30348837209302326	0.4998259052924791	GO:1901564	GO:BP	organonitrogen compound metabolic process	26944	22098	
query_1	TRUE	1.6657373367321063e-145	4397	9460	2311	0.24429175475687104	0.5255856265635661	GO:0006810	GO:BP	transport	26944	2519	
query_1	TRUE	1.3492784154137749e-139	5966	9460	2935	0.3102536997885835	0.49195440831377807	GO:0048519	GO:BP	negative regulation of biological process	26944	13227	
query_1	TRUE	1.6745634916832802e-138	10506	9460	4661	0.4927061310782241	0.44365124690652963	GO:0050896	GO:BP	response to stimulus	26944	13774	
query_1	TRUE	1.88536543273739e-138	3165	9460	1766	0.18668076109936574	0.5579778830963665	GO:0051239	GO:BP	regulation of multicellular organismal process	26944	14037	
query_1	TRUE	6.105025202582951e-134	6269	9460	3038	0.3211416490486258	0.48460679534215984	GO:0048856	GO:BP	anatomical structure development	26944	13525	
