ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_FEEDING_BEHAVIOR	GOBP_FEEDING_BEHAVIOR	101	0.6472675107877486	2.315089367725129	4.325085293485086e-10	7.738255013042593e-9	5.668960876115201e-9	1105	tags=31%, list=5%, signal=29%	Adora2a/Drd2/Mc3r/Oprk1/Ins2/Drd1/Helt/Cartpt/Pmch/Tacr1/Th/Oxt/Dach1/Prlhr/Brs3/Nmur2/Ren1/Htr1b/Fos/Retn/Mchr1/Bsx/Oprm1/Htr2c/Npy/Mrap2/P2ry1/Trh/Cntn2/Gnb3/Gal
GOBP_LOCOMOTORY_BEHAVIOR	GOBP_LOCOMOTORY_BEHAVIOR	186	0.5604702935067232	2.268264929267875	2.1060396257503256e-11	4.467812634627477e-10	3.2730706063352803e-10	2544	tags=28%, list=11%, signal=25%	Nms/Gbx1/Drd3/Adora2a/Ppp1r1b/Drd2/Penk/Gpr88/Mc3r/Oprk1/Drd1/Avp/Gdnf/Rasd2/Th/Adcy5/Pde1b/Ido1/Egr1/Tmod1/Pbx3/Glra1/Bsx/Lrrk2/Meis1/Crh/Htr2c/Sez6/Trh/Slitrk6/Cntn2/Klhl1/Gnb3/Gpr37/Strn/Gad1/Gaa/Arrdc3/Alk/Uchl1/Cnp/Abat/Efnb3/Inpp5f/Dlg4/Chrnb4/Slc6a3/Abca2/Sptbn4/C1ql1/Negr1/Drd4/Calb1
GOBP_RHYTHMIC_BEHAVIOR	GOBP_RHYTHMIC_BEHAVIOR	44	0.7079301434305814	2.188924261678852	3.906284515281643e-6	3.7744703049236094e-05	2.7651356088169778e-5	631	tags=20%, list=3%, signal=20%	Nms/Drd3/Adora2a/Drd2/Mc3r/Egr2/Th/Egr1/Crh
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27	0.777413782822215	2.1868161589427495	1.6509883977935343e-5	1.4212856641874773e-4	1.0412183122011397e-4	631	tags=30%, list=3%, signal=29%	Drd3/Adora2a/Drd2/Drd1/Gdnf/Rasd2/Th/Crh
GOBP_CATECHOLAMINE_SECRETION	GOBP_CATECHOLAMINE_SECRETION	57	0.6708931905717646	2.1396264398904523	9.286186986321616e-7	1.0329578782537528e-5	7.56733629045014e-6	1633	tags=35%, list=7%, signal=33%	Drd3/Adora2a/Drd2/Fgf20/Oprk1/Ffar3/Gdnf/Syt6/Cartpt/Oxt/Adra2b/Htr1b/Crh/Syt12/P2ry1/Hrh3/Adra2c/Syt2/Syt7/Abat
GOBP_AMINE_TRANSPORT	GOBP_AMINE_TRANSPORT	99	0.5724312052942531	2.038585493361618	1.3393843761182194e-6	1.4006942243208141e-5	1.0261332488644773e-5	1633	tags=30%, list=7%, signal=28%	Drd3/Adora2a/Drd2/Fgf20/Oprk1/Drd1/Ffar3/Avp/Gdnf/Syt6/Cartpt/Th/Oxt/Adra2b/Htr1b/Crh/Syt12/Rhcg/P2ry1/Ddc/Trh/Rgs2/Cltrn/Hrh3/Rgs4/Adra2c/Syt2/Syt7/Avpr1a/Abat
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	42	0.6524654238975347	2.01442139155589	8.839258243946129e-5	6.530496762318409e-4	4.784170408545863e-4	6534	tags=81%, list=29%, signal=58%	Ndufv1/Ndufa5/Ndufa1/Ndufs7/Pink1/Ndufs5/Ndufa7/Coq9/Ndufc1/Ndufb4/Ndufaf1/Ndufb8/Ndufs8/Ndufa4/Ndufs1/Ndufb10/Ndufb5/Ndufs2/Ndufs4/Ndufa3/Iscu/Snca/Ndufa8/Ndufc2/Ndufb7/Ndufb2/Ndufa6/Park7/Ndufb3/Ndufs6/Ndufs3/Ndufb6/Ndufa10/Ndufab1
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	25	0.7168388099668574	2.001994495615276	5.476703871950058e-4	0.0033263416154788693	0.002436841438665541	965	tags=28%, list=4%, signal=27%	Scn4b/Kcna5/Scn5a/Kcne2/Akap9/Kcnh2/Rnf207
GOBP_RESPONSE_TO_ISOQUINOLINE_ALKALOID	GOBP_RESPONSE_TO_ISOQUINOLINE_ALKALOID	28	0.7040130572090408	2.000736257216068	3.2367026267948973e-4	0.002094336993808463	0.0015342883452780767	1110	tags=32%, list=5%, signal=31%	Drd3/Ppp1r1b/Drd2/Penk/Oprk1/Fosb/Tacr1/Oprm1/Rgs4
GOBP_WALKING_BEHAVIOR	GOBP_WALKING_BEHAVIOR	30	0.6958300808591534	1.9845876208251576	2.709070385870052e-4	0.0017959685370611729	0.0013157068814834113	1661	tags=30%, list=7%, signal=28%	Gbx1/Drd2/Drd1/Glra1/Trh/Cntn2/Klhl1/Uchl1/Efnb3
